GID_0;NAME_0;GID_1;NAME_1;NL_NAME_1;GID_2;NAME_2;NL_NAME_2;GID_3;NAME_3;VARNAME_3;NL_NAME_3;TYPE_3;ENGTYPE_3;CC_3;HASC_3
CWL;Cowland;;;;;;;;;;;;;;
AND;Andorra;AND.1_1;Andorra la Vella;;;;;;;;;;;;
AND;Andorra;AND.2_1;Canillo;;;;;;;;;;;;
AND;Andorra;AND.3_1;Encamp;;;;;;;;;;;;
AND;Andorra;AND.4_1;Escaldes-Engordany;;;;;;;;;;;;
AND;Andorra;AND.5_1;La Massana;;;;;;;;;;;;
AND;Andorra;AND.6_1;Ordino;;;;;;;;;;;;
AND;Andorra;AND.7_1;Sant Julià de Lòria;;;;;;;;;;;;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.2_1;Eisenstadt;;AUT.1.2.1_1;Eisenstadt;;;Gemeinde;Municipality;10101;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.1_1;Breitenbrunn am Neusiedler See;;;Gemeinde;Municipality;10301;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.2_1;Donnerskirchen;;;Gemeinde;Municipality;10302;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.3_1;Großhöflein;;;Gemeinde;Municipality;10303;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.4_1;Hornstein;;;Gemeinde;Municipality;10304;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.5_1;Klingenbach;;;Gemeinde;Municipality;10305;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.6_1;Leithaprodersdorf;;;Gemeinde;Municipality;10306;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.7_1;Loretto;;;Gemeinde;Municipality;10320;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.8_1;Mörbisch am See;;;Gemeinde;Municipality;10307;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.9_1;Müllendorf;;;Gemeinde;Municipality;10308;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.10_1;Neufeld an der Leitha;;;Gemeinde;Municipality;10309;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.11_1;Oggau am Neusiedler See;;;Gemeinde;Municipality;10310;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.12_1;Oslip;;;Gemeinde;Municipality;10311;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.13_1;Purbach am Neusiedler See;;;Gemeinde;Municipality;10312;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.14_1;Sankt Margarethen im Burgenland;;;Gemeinde;Municipality;10313;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.15_1;Schützen am Gebirge;;;Gemeinde;Municipality;10314;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.16_1;Siegendorf;;;Gemeinde;Municipality;10315;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.17_1;Steinbrunn;;;Gemeinde;Municipality;10316;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.18_1;Stotzing;;;Gemeinde;Municipality;10321;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.19_1;Trausdorf an der Wulka;;;Gemeinde;Municipality;10317;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.20_1;Wimpassing an der Leitha;;;Gemeinde;Municipality;10318;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.21_1;Wulkaprodersdorf;;;Gemeinde;Municipality;10319;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.22_1;Zagersdorf;;;Gemeinde;Municipality;10323;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.1_1;Eisenstadt Umgebung;;AUT.1.1.23_1;Zillingtal;;;Gemeinde;Municipality;10322;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.3_1;Güssing;;AUT.1.3.1_1;Bildein;;;Gemeinde;Municipality;10426;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.3_1;Güssing;;AUT.1.3.2_1;Bocksdorf;;;Gemeinde;Municipality;10401;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.3_1;Güssing;;AUT.1.3.3_1;Burgauberg-Neudauberg;;;Gemeinde;Municipality;10402;
AUT;Austria;AUT.1_1;Burgenland;;AUT.1.3_1;Güssing;;AUT.1.3.4_1;Eberau;;;Gemeinde;Municipality;10403;
