"region_code","wildlife","pathogen","wildlife_prev_min","wildlife_prev_mode","wildlife_prev_max","wildlife_pathogen_region_notes","wildlife_pathogen_region_ref"
"ESP.1.1_1","wildboar","TB",0.026233407,0.067349956,0.183918631,"",NA
"ESP.1.2_1","wildboar","TB",0,0.031455438,0.699595485,"",NA
"ESP.1.3_1","wildboar","TB",0.155231957,0.239393646,0.328892764,"",NA
"ESP.1.4_1","wildboar","TB",0.044364441,0.111614124,0.256707677,"",NA
"ESP.1.5_1","wildboar","TB",0.017359039,0.103401034,0.38592341,"",NA
"ESP.1.6_1","wildboar","TB",0.007510741,0.060001584,0.094417773,"",NA
"ESP.1.7_1","wildboar","TB",0.183033936,0.302605728,0.54882692,"",NA
"ESP.1.8_1","wildboar","TB",0.010913474,0.200233088,0.664324859,"",NA
"ESP.10.1_1","wildboar","TB",0.000779534,0.026080279,0.081470088,"",NA
"ESP.10.2_1","wildboar","TB",0.000586747,0.017090413,0.062148057,"",NA
"ESP.10.3_1","wildboar","TB",0.026378337,0.060941521,0.135716774,"",NA
"ESP.11.1_1","wildboar","TB",0.190069265,0.246465689,0.291217344,"",NA
"ESP.11.2_1","wildboar","TB",0.370729094,0.38781349,0.466227145,"",NA
"ESP.12.1_1","wildboar","TB",0.023265161,0.039747486,0.311292724,"",NA
"ESP.12.2_1","wildboar","TB",6.48e-10,0.008205868,0.345114425,"",NA
"ESP.12.3_1","wildboar","TB",0.000728006,0.032894811,0.27272909,"",NA
"ESP.12.4_1","wildboar","TB",0.013773901,0.048986757,0.297159667,"",NA
"ESP.13.1_1","wildboar","TB",0.038821155,0.087381253,0.235781378,"",NA
"ESP.14.1_1","wildboar","TB",0.056674627,0.094622296,0.235781378,"",NA
"ESP.14.2_1","wildboar","TB",0.056674627,0.094622296,0.235781378,"",NA
"ESP.15.1_1","wildboar","TB",0.034030679,0.072216505,0.151486108,"",NA
"ESP.16.1_1","wildboar","TB",0.05224641,0.081666052,0.142491888,"",NA
"ESP.16.2_1","wildboar","TB",0.052838649,0.084462065,0.147022482,"",NA
"ESP.16.3_1","wildboar","TB",0.068138097,0.085666043,0.18346114,"",NA
"ESP.17.1_1","wildboar","TB",0.011310169,0.037784097,0.072203331,"",NA
"ESP.18.1_1","wildboar","TB",0.018302777,0.047808492,0.095984653,"",NA
"ESP.2.1_1","wildboar","TB",0.050352614,0.104409444,0.245083283,"",NA
"ESP.2.2_1","wildboar","TB",0.026075561,0.055153846,0.1342546,"",NA
"ESP.2.3_1","wildboar","TB",0.008796703,0.070772596,0.244295139,"",NA
"ESP.3.1_1","wildboar","TB",0.058117426,0.090773876,0.189232411,"",NA
"ESP.4.1_1","wildboar","TB",0.076041712,0.232478804,0.628430372,"",NA
"ESP.4.2_1","wildboar","TB",0.315980522,0.342754759,0.404568624,"",NA
"ESP.4.3_1","wildboar","TB",0.010669725,0.066275325,0.131100686,"",NA
"ESP.4.4_1","wildboar","TB",0.006820916,0.12354016,0.500944857,"",NA
"ESP.4.5_1","wildboar","TB",0.358429563,0.392801673,0.482975842,"",NA
"ESP.5.1_1","wildboar","TB",0.130212774,0.175526499,0.219257238,"",NA
"ESP.5.2_1","wildboar","TB",0.041464504,0.071685992,0.133645952,"",NA
"ESP.5.3_1","wildboar","TB",0.063863149,0.077427531,0.132298254,"",NA
"ESP.5.4_1","wildboar","TB",0.020027669,0.03936632,0.070439013,"",NA
"ESP.5.5_1","wildboar","TB",0.055486423,0.092754311,0.117120533,"",NA
"ESP.5.6_1","wildboar","TB",0.021947495,0.048691858,0.076994127,"",NA
"ESP.5.7_1","wildboar","TB",0.01635105,0.059234129,0.193028267,"",NA
"ESP.5.8_1","wildboar","TB",2.29e-09,0.007669419,0.043548535,"",NA
"ESP.5.9_1","wildboar","TB",0.004900283,0.015776537,0.041458068,"",NA
"ESP.6.1_1","wildboar","TB",0.0205,0.04,0.0545,"Plan de vigilancia fauna silvestre cataluña 2025",NA
"ESP.6.2_1","wildboar","TB",0.0205,0.04,0.0545,"Plan de vigilancia fauna silvestre cataluña 2025",NA
"ESP.6.3_1","wildboar","TB",0.0205,0.04,0.0545,"Plan de vigilancia fauna silvestre cataluña 2025",NA
"ESP.6.4_1","wildboar","TB",0.007260374,0.024298351,0.060794347,"Plan de vigilancia fauna silvestre cataluña 2025",NA
"ESP.7.1_1","wildboar","TB",0.076795142,0.112760371,0.439270086,"",NA
"ESP.7.2_1","wildboar","TB",0.10085844,0.133218331,0.236071848,"",NA
"ESP.8.1_1","wildboar","TB",0.098876491,0.190595974,0.333296009,"",NA
"ESP.9.1_1","wildboar","TB",0.008620405,0.045076581,0.107496079,"",NA
"AND","wildboar","TB",0.003349956,0.007589821,0.014194457,"Copied from  Lleida (ESP.6.1_1)",NA
"AUT","wildboar","TB",1e-04,5e-04,9e-04,"",NA
"CWL","wildboar","TB",0.001,0.005,0.009,"Hypothetical",NA
